route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,49506579,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166783,1085494,1,2
1,1,49506765,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166829,1085494,1,2
1,1,49506766,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166770,1085494,1,2
1,1,49506767,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166836,1085494,1,2
1,1,49506768,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166771,1085494,1,2
1,1,49506769,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166772,1085494,1,2
1,1,49506770,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166837,1085494,1,2
1,1,49506771,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166784,1085494,1,2
1,1,49506772,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166773,1085494,1,2
1,1,49506773,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166785,1085494,1,2
1,1,49506774,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166775,1085494,1,2
1,1,49506775,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166838,1085494,1,2
1,1,49506776,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166774,1085494,1,2
1,1,49506777,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166786,1085494,1,2
1,1,49506778,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166767,1085494,1,2
1,1,49506779,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166787,1085494,1,2
1,1,49506780,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166756,1085494,1,2
1,1,49506781,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166839,1085494,1,2
1,1,49506782,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166757,1085494,1,2
1,1,49506783,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166788,1085494,1,2
1,1,49506784,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166758,1085494,1,2
1,1,49506785,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166789,1085494,1,2
1,1,49506786,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166759,1085494,1,2
1,1,49506787,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166760,1085494,1,2
