feature,importance
incident_avg_delay,0.26113561182990663
incident_hour_interaction,0.19710389532271286
direction_encoded,0.07170968331905599
incident_encoded,0.06654491753567766
year,0.03773001026331847
location_hour_interaction,0.03763294770419401
minute,0.03619584935475295
location_delay_frequency,0.03443159586663999
location_avg_delay,0.03212336673013378
day_of_month,0.0318779265644069
hour_dow,0.02444307029096168
route_hour_avg_delay,0.023931892476763274
month,0.022453248915766742
route_dow_avg_delay,0.021780819581667395
route_hour_interaction,0.02088547949466122
hour,0.01848130772800089
day_of_week,0.014675358939409395
route_delay_frequency,0.005516723628699087
route_avg_delay,0.004913198982384572
season_Spring,0.004632359043059144
season_Winter,0.004319169417191045
season_Summer,0.004255867400044232
season_Fall,0.0038137955888650817
is_weekend,0.003152938622163609
time_of_day_Night,0.0027370966906727725
is_holiday_season,0.0024922439508175765
is_rush_hour,0.002343001158021541
time_of_day_Morning,0.0021879182496170034
time_of_day_Afternoon,0.0020447986982928563
is_evening_rush,0.0016537173120645084
time_of_day_Evening,0.0016127527329757529
is_morning_rush,0.0011874366071014564
